RoadType,RoadwayName,total
Avenue,PROVOST AVENUE,120128
Avenue,PUTNAM AVENUE,30552
Avenue,RALPH AVENUE,186905
Avenue,RANDALL AVENUE,68104
Avenue,REMSEN AVENUE,125959
Avenue,RICHMOND AVENUE,498604
Road,RICHMOND ROAD,130848
Avenue,RIVER AVENUE,4320
Avenue,RIVERDALE AVENUE,120050
Avenue,ROCKAWAY AVENUE,117786
Boulevard,ROCKAWAY BOULEVARD,132975
Parkway,ROCKAWAY PARKWAY,158501
Avenue,ROGERS AVENUE,284552
Avenue,ROOSEVELT AVENUE,59664
Avenue,ROSEDALE AVENUE,104158
Avenue,SANFORD AVENUE,84949
Boulevard,SEAGIRT BOULEVARD,190864
Avenue,SEDGWICK AVENUE,108324
Expressway,SHERIDAN EXPRESSWAY,426049
Avenue,SOUTH AVENUE,130904
Avenue,SOUTH CONDUIT AVENUE,460212
Street,SPRING STREET,83027
Street,ST MARYS STREET,4127
Street,STATE STREET,142141
Street,STEINWAY STREET,118334
Avenue,STILLWELLAVENUE,72669
Avenue,TINTON AVENUE,18343
Road,TODT HILL ROAD,157503
Avenue,TOMPKINS AVENUE,60271
Avenue,TRAVIS AVENUE,132217
Avenue,UNDERHILL AVENUE,20653
Street,UNION STREET,220311
Avenue,UTICA AVENUE,139146
Street,VAN DUZER STREET,60455
Expressway,VAN WYCK EXPRESSWAY,1480734
Street,VARICK STREET,264830
Boulevard,VERNON BOULEVARD,190485
Avenue,WADSWORTH AVENUE,47690
Avenue,WEBSTER AVENUE,270972
Street,WEST 125 STREET,169592
Street,WEST 135 STREET,57372
Street,WEST 30 STREET,59509
Street,WEST 34 STREET,206125
Street,WEST 39 STREET,113667
Street,WEST 48 STREET,93183
Street,WEST 49 STREET,81310
Street,WEST 53 STREET,64968
Street,WEST 55 STREET,84367
Street,WEST 56 STREET,59266
Street,WEST 57 STREET,169726
Expressway,WEST BROADWAY,314305
Avenue,WEST END AVENUE,243770
Road,WEST GUN HILL ROAD,150636
Road,WHITE PLAINS ROAD,128293
Boulevard,WINCHESTER BOULEVARD,54729
Boulevard,WOODHAVEN BOULEVARD,432710
Road,WOODROW ROAD,39689
Avenue,WOODSIDE AVENUE,92175
Boulevard,YELLOWSTONE BOULEVARD,99288
Avenue,YORK AVENUE,397331
